topic,level,days_spent,next_topic
dynamic programming,hard,7,bitmask
stack,medium,5,monotonic stack
rolling hash,hard,7,suffix array
stack,easy,1,monotonic stack
linked list,medium,4,doubly-linked list
probability,medium,4,statistics
concurrency,medium,4,design
divide and conquer,hard,7,segment tree
linked list,medium,5,doubly-linked list
greedy,medium,5,dynamic programming
concurrency,hard,7,design
monotonic stack,hard,6,sliding window
linked list,hard,7,doubly-linked list
binary search,easy,2,graph theory
graph theory,easy,2,shortest path
simulation,hard,6,design
system design,hard,7,concurrency
shortest path,easy,1,graph theory
hash table,easy,2,graph theory
recursion,easy,1,divide and conquer
number theory,medium,5,combinatorics
array,medium,4,string
trie,hard,7,string matching
dynamic programming,medium,5,bitmask
sliding window,medium,3,two pointers
two pointers,easy,2,array
two pointers,hard,7,array
system design,hard,6,concurrency
matrix,hard,7,simulation
sorting,medium,4,binary search
graph theory,medium,3,shortest path
binary indexed tree,medium,4,range query
tree,medium,4,graph theory
rolling hash,medium,4,suffix array
rolling hash,medium,4,suffix array
string matching,easy,2,rolling hash
breadth-first search,hard,6,graph theory
tree,hard,7,graph theory
simulation,hard,7,design
system design,hard,6,concurrency
binary tree,medium,5,depth-first search
array,medium,4,string
string matching,medium,4,rolling hash
string,medium,3,sorting
number theory,medium,5,combinatorics
divide and conquer,easy,2,segment tree
concurrency,easy,2,design
dynamic programming,easy,2,bitmask
string matching,easy,1,rolling hash
binary search,medium,3,graph theory
divide and conquer,medium,5,segment tree
shortest path,easy,2,graph theory
system design,hard,7,concurrency
tree,medium,3,graph theory
segment tree,easy,2,binary indexed tree
linked list,medium,5,doubly-linked list
dynamic programming,medium,5,bitmask
backtracking,easy,2,recursion
simulation,hard,7,design
system design,hard,6,concurrency
tree,hard,6,binary tree
string matching,easy,2,rolling hash
shortest path,medium,4,graph theory
monotonic stack,medium,4,sliding window
number theory,medium,4,combinatorics
combinatorics,hard,6,probability
concurrency,easy,2,design
bitmask,medium,3,backtracking
linked list,medium,4,doubly-linked list
sliding window,medium,4,two pointers
simulation,medium,3,design
math,hard,6,number theory
breadth-first search,medium,4,graph theory
shortest path,hard,6,graph theory
divide and conquer,easy,1,segment tree
simulation,hard,6,design
monotonic stack,hard,6,sliding window
shortest path,medium,4,graph theory
linked list,easy,1,doubly-linked list
concurrency,medium,3,design
breadth-first search,hard,6,graph theory
hash table,easy,2,tree
concurrency,medium,3,design
hash table,medium,5,graph theory
segment tree,medium,3,binary indexed tree
hash table,medium,3,tree
combinatorics,medium,5,probability
graph theory,hard,7,minimum spanning tree
breadth-first search,hard,7,graph theory
rolling hash,medium,4,suffix array
string,easy,2,sorting
dynamic programming,medium,4,memoization
greedy,medium,4,dynamic programming
array,medium,5,hash table
greedy,medium,4,dynamic programming
math,hard,6,number theory
divide and conquer,hard,6,segment tree
sorting,medium,4,binary search
graph theory,hard,6,shortest path
shortest path,hard,7,graph theory
shortest path,medium,3,graph theory
breadth-first search,medium,5,graph theory
breadth-first search,medium,3,graph theory
segment tree,medium,3,binary indexed tree
two pointers,easy,1,array
system design,medium,3,concurrency
greedy,hard,7,dynamic programming
recursion,medium,3,divide and conquer
breadth-first search,medium,3,graph theory
two pointers,hard,7,array
linked list,medium,4,doubly-linked list
sorting,easy,1,greedy
combinatorics,medium,5,probability
two pointers,medium,5,array
string,medium,5,sorting
combinatorics,easy,2,probability
combinatorics,easy,2,probability
binary indexed tree,medium,3,range query
concurrency,easy,2,design
combinatorics,easy,1,probability
math,easy,2,number theory
graph theory,hard,7,minimum spanning tree
binary search,medium,4,graph theory
greedy,easy,1,dynamic programming
greedy,hard,7,dynamic programming
backtracking,medium,3,recursion
hash table,medium,4,tree
combinatorics,hard,6,probability
simulation,hard,6,design
array,easy,2,string
binary tree,medium,4,depth-first search
stack,hard,6,monotonic stack
binary tree,medium,3,depth-first search
breadth-first search,hard,6,graph theory
depth-first search,medium,3,breadth-first search
recursion,medium,5,divide and conquer
depth-first search,medium,4,breadth-first search
monotonic stack,hard,6,sliding window
stack,easy,2,monotonic stack
bitmask,medium,5,backtracking
two pointers,medium,5,array
matrix,medium,4,simulation
matrix,hard,7,simulation
greedy,hard,6,dynamic programming
greedy,hard,6,dynamic programming
recursion,medium,3,divide and conquer
concurrency,medium,3,design
bitmask,medium,5,backtracking
monotonic stack,hard,7,sliding window
probability,medium,3,statistics
sliding window,easy,2,two pointers
segment tree,easy,2,binary indexed tree
binary tree,easy,1,depth-first search
string,hard,7,sorting
binary search,easy,2,tree
segment tree,easy,1,binary indexed tree
greedy,medium,5,dynamic programming
concurrency,medium,5,design
monotonic stack,medium,5,sliding window
tree,medium,5,binary tree
recursion,easy,1,divide and conquer
combinatorics,easy,1,probability
greedy,hard,6,dynamic programming
recursion,hard,7,divide and conquer
concurrency,medium,4,design
rolling hash,medium,3,suffix array
tree,medium,5,graph theory
rolling hash,hard,7,suffix array
rolling hash,hard,7,suffix array
string matching,easy,2,rolling hash
hash table,hard,6,tree
binary search,medium,4,graph theory
binary indexed tree,hard,7,range query
graph theory,easy,2,shortest path
concurrency,hard,6,design
binary tree,medium,3,depth-first search
simulation,hard,6,design
design,medium,4,system design
graph theory,hard,6,shortest path
trie,medium,5,string matching
concurrency,easy,1,design
linked list,medium,5,doubly-linked list
math,easy,2,number theory
divide and conquer,medium,5,segment tree
number theory,hard,7,combinatorics
number theory,medium,5,combinatorics
number theory,hard,6,combinatorics
sorting,medium,5,binary search
string,easy,2,sorting
string,easy,2,sorting
string,hard,6,sorting
tree,hard,6,graph theory
tree,medium,3,binary tree
array,easy,1,hash table
combinatorics,medium,5,probability
breadth-first search,hard,6,graph theory
sorting,easy,2,binary search
probability,medium,4,statistics
hash table,medium,5,graph theory
concurrency,medium,3,design
stack,easy,2,monotonic stack
two pointers,easy,1,array
binary indexed tree,easy,1,range query
combinatorics,easy,2,probability
shortest path,hard,7,graph theory
matrix,hard,6,simulation
combinatorics,easy,1,probability
bitmask,medium,5,backtracking
depth-first search,hard,6,breadth-first search
backtracking,medium,5,recursion
breadth-first search,medium,5,graph theory
simulation,easy,2,design
recursion,medium,4,divide and conquer
graph theory,medium,5,shortest path
breadth-first search,hard,6,graph theory
sliding window,hard,7,two pointers
trie,easy,2,string matching
simulation,easy,2,design
probability,easy,2,statistics
sliding window,medium,5,two pointers
dynamic programming,medium,3,memoization
combinatorics,easy,1,probability
number theory,medium,3,combinatorics
string matching,hard,7,rolling hash
breadth-first search,hard,6,graph theory
greedy,medium,4,dynamic programming
linked list,hard,7,doubly-linked list
graph theory,medium,3,minimum spanning tree
design,medium,4,system design
design,medium,5,system design
matrix,hard,6,simulation
combinatorics,medium,4,probability
binary tree,easy,2,depth-first search
tree,easy,2,binary tree
number theory,hard,6,combinatorics
math,medium,4,number theory
matrix,easy,1,simulation
combinatorics,easy,1,probability
two pointers,medium,4,array
matrix,medium,4,simulation
array,easy,1,string
stack,easy,2,monotonic stack
math,easy,2,number theory
string matching,easy,2,rolling hash
binary search,medium,4,tree
graph theory,medium,5,shortest path
shortest path,hard,6,graph theory
array,medium,3,string
hash table,hard,6,graph theory
sorting,medium,4,binary search
array,hard,6,string
two pointers,easy,2,array
math,medium,4,number theory
string matching,medium,5,rolling hash
math,hard,7,number theory
recursion,hard,7,divide and conquer
binary indexed tree,medium,3,range query
sorting,medium,3,binary search
dynamic programming,easy,2,memoization
shortest path,medium,5,graph theory
simulation,hard,6,design
greedy,medium,5,dynamic programming
binary search,hard,6,graph theory
concurrency,easy,1,design
linked list,medium,5,doubly-linked list
greedy,medium,5,dynamic programming
combinatorics,medium,3,probability
probability,hard,6,statistics
string matching,medium,4,rolling hash
shortest path,medium,3,graph theory
tree,medium,3,graph theory
sorting,hard,7,binary search
number theory,hard,6,combinatorics
simulation,medium,4,design
simulation,hard,6,design
trie,hard,7,string matching
depth-first search,hard,7,breadth-first search
rolling hash,medium,3,suffix array
array,easy,2,string
tree,medium,3,graph theory
divide and conquer,medium,5,segment tree
combinatorics,easy,2,probability
trie,easy,2,string matching
system design,medium,4,concurrency
graph theory,medium,4,shortest path
bitmask,medium,5,backtracking
rolling hash,easy,1,suffix array
linked list,medium,3,doubly-linked list
linked list,medium,3,doubly-linked list
math,hard,6,number theory
simulation,medium,3,design
depth-first search,hard,6,breadth-first search
design,medium,3,system design
binary indexed tree,medium,3,range query
binary tree,medium,4,depth-first search
breadth-first search,medium,5,graph theory
concurrency,easy,2,design
combinatorics,easy,2,probability
math,easy,2,number theory
array,hard,6,string
tree,medium,3,graph theory
sorting,easy,1,binary search
matrix,easy,2,simulation
string,easy,2,sorting
two pointers,medium,4,array
matrix,medium,4,simulation
rolling hash,easy,2,suffix array
depth-first search,hard,6,breadth-first search
breadth-first search,hard,7,graph theory
divide and conquer,hard,6,segment tree
design,hard,7,system design
linked list,medium,4,doubly-linked list
combinatorics,medium,4,probability
binary search,easy,1,graph theory
dynamic programming,medium,4,memoization
sliding window,hard,7,two pointers
simulation,easy,1,design
graph theory,hard,6,minimum spanning tree
two pointers,medium,4,array
backtracking,medium,5,recursion
concurrency,medium,3,design
concurrency,easy,2,design
binary search,medium,4,graph theory
sorting,easy,2,greedy
stack,hard,7,monotonic stack
design,medium,4,system design
shortest path,medium,4,graph theory
trie,medium,4,string matching
design,medium,3,system design
backtracking,medium,4,recursion
depth-first search,medium,3,breadth-first search
backtracking,hard,6,recursion
linked list,medium,4,doubly-linked list
depth-first search,easy,1,breadth-first search
dynamic programming,medium,4,memoization
breadth-first search,hard,6,graph theory
depth-first search,medium,3,breadth-first search
string matching,easy,1,rolling hash
segment tree,medium,3,binary indexed tree
sliding window,medium,5,two pointers
number theory,medium,4,combinatorics
shortest path,medium,3,graph theory
linked list,medium,4,doubly-linked list
monotonic stack,hard,6,sliding window
simulation,hard,7,design
binary tree,easy,2,depth-first search
greedy,easy,2,dynamic programming
recursion,easy,2,divide and conquer
design,medium,3,system design
recursion,hard,6,divide and conquer
monotonic stack,hard,7,sliding window
linked list,hard,6,doubly-linked list
matrix,medium,4,simulation
simulation,medium,3,design
array,medium,4,hash table
depth-first search,medium,5,breadth-first search
binary search,medium,5,graph theory
recursion,easy,2,divide and conquer
depth-first search,hard,7,breadth-first search
monotonic stack,medium,5,sliding window
simulation,medium,3,design
binary tree,hard,7,depth-first search
string matching,medium,4,rolling hash
divide and conquer,hard,7,segment tree
depth-first search,hard,6,breadth-first search
stack,medium,5,monotonic stack
string matching,easy,2,rolling hash
backtracking,easy,2,recursion
two pointers,medium,3,array
backtracking,medium,4,recursion
dynamic programming,hard,7,memoization
binary search,hard,6,tree
backtracking,hard,6,recursion
probability,hard,7,statistics
system design,medium,3,concurrency
greedy,hard,6,dynamic programming
graph theory,easy,1,minimum spanning tree
graph theory,hard,7,minimum spanning tree
string matching,medium,3,rolling hash
dynamic programming,hard,6,memoization
monotonic stack,hard,7,sliding window
recursion,easy,1,divide and conquer
tree,easy,2,binary tree
binary indexed tree,hard,7,range query
shortest path,medium,5,graph theory
shortest path,hard,7,graph theory
